index  confidence   rules
 1     1.000        ['root vegetables', 'whipped/sour cream', 'flour']=>['whole milk']
 2     0.938        ['sugar', 'cream cheese', 'other vegetables']=>['whole milk']
 3     0.938        ['root vegetables', 'sausage', 'yogurt', 'tropical fruit']=>['whole milk']
 4     0.905        ['red/blush wine', 'liquor']=>['bottled beer']
 5     0.905        ['tropical fruit', 'whipped/sour cream', 'fruit/vegetable juice']=>['other vegetables']
 6     0.900        ['pip fruit', 'butter', 'whipped/sour cream']=>['whole milk']
 7     0.900        ['tropical fruit', 'whipped/sour cream', 'domestic eggs']=>['whole milk']
 8     0.895        ['tropical fruit', 'root vegetables', 'butter', 'yogurt']=>['whole milk']
 9     0.889        ['rolls/buns', 'margarine', 'whipped/sour cream']=>['whole milk']
 10    0.889        ['citrus fruit', 'cream cheese', 'domestic eggs']=>['whole milk']
 11    0.889        ['pip fruit', 'ham', 'tropical fruit']=>['other vegetables']
 12    0.889        ['root vegetables', 'onions', 'tropical fruit']=>['other vegetables']
 13    0.886        ['citrus fruit', 'root vegetables', 'whole milk', 'tropical fruit']=>['other vegetables']
 14    0.882        ['root vegetables', 'herbs', 'tropical fruit']=>['whole milk']
 15    0.882        ['citrus fruit', 'root vegetables', 'pastry']=>['other vegetables']
 16    0.882        ['citrus fruit', 'pastry', 'whipped/sour cream']=>['whole milk']
 17    0.882        ['root vegetables', 'butter milk', 'yogurt']=>['whole milk']
 18    0.882        ['yogurt', 'whipped/sour cream', 'frozen vegetables', 'whole milk']=>['other vegetables']
 19    0.882        ['root vegetables', 'yogurt', 'frozen vegetables', 'whole milk']=>['other vegetables']
 20    0.882        ['tropical fruit', 'rolls/buns', 'other vegetables', 'beef']=>['whole milk']
 21    0.857        ['butter milk', 'pork']=>['other vegetables']
 22    0.850        ['margarine', 'meat']=>['other vegetables']
 23    0.850        ['tropical fruit', 'white bread', 'whipped/sour cream']=>['other vegetables']
 24    0.850        ['root vegetables', 'tropical fruit', 'oil']=>['other vegetables']
 25    0.850        ['root vegetables', 'cream cheese', 'curd']=>['other vegetables']
 26    0.850        ['root vegetables', 'butter', 'onions']=>['whole milk']
 27    0.850        ['root vegetables', 'pip fruit', 'other vegetables', 'whipped/sour cream']=>['whole milk']
 28    0.846        ['butter', 'other vegetables', 'pork']=>['whole milk']
 29    0.842        ['citrus fruit', 'frozen vegetables', 'fruit/vegetable juice']=>['whole milk']
 30    0.842        ['root vegetables', 'rolls/buns', 'waffles']=>['whole milk']
 31    0.842        ['butter', 'whipped/sour cream', 'domestic eggs']=>['whole milk']
 32    0.842        ['citrus fruit', 'root vegetables', 'newspapers']=>['other vegetables']
 33    0.833        ['rice', 'butter']=>['whole milk']
 34    0.833        ['root vegetables', 'brown bread', 'domestic eggs']=>['whole milk']
 35    0.833        ['rice', 'yogurt', 'whole milk']=>['other vegetables']
 36    0.833        ['root vegetables', 'rolls/buns', 'herbs']=>['whole milk']
 37    0.833        ['root vegetables', 'other vegetables', 'fruit/vegetable juice', 'yogurt']=>['whole milk']
 38    0.833        ['tropical fruit', 'root vegetables', 'domestic eggs', 'yogurt']=>['whole milk']
 39    0.826        ['rice', 'yogurt']=>['other vegetables']
 40    0.826        ['herbs', 'shopping bags']=>['other vegetables']
 41    0.824        ['other vegetables', 'curd', 'domestic eggs']=>['whole milk']
 42    0.821        ['tropical fruit', 'herbs']=>['whole milk']
 43    0.821        ['citrus fruit', 'root vegetables', 'other vegetables', 'yogurt']=>['whole milk']
 44    0.818        ['root vegetables', 'other vegetables', 'rice']=>['whole milk']
 45    0.818        ['pip fruit', 'whipped/sour cream', 'curd']=>['whole milk']
 46    0.815        ['root vegetables', 'rolls/buns', 'yogurt', 'tropical fruit']=>['whole milk']
 47    0.810        ['cereals', 'yogurt']=>['whole milk']
 48    0.810        ['bottled beer', 'hamburger meat']=>['whole milk']
 49    0.810        ['waffles', 'rolls/buns', 'whipped/sour cream']=>['whole milk']
 50    0.810        ['yogurt', 'whipped/sour cream', 'long life bakery product']=>['whole milk']
 51    0.810        ['pip fruit', 'root vegetables', 'butter']=>['whole milk']
 52    0.810        ['citrus fruit', 'yogurt', 'root vegetables', 'tropical fruit']=>['other vegetables']
 53    0.806        ['hamburger meat', 'curd']=>['whole milk']
 54    0.800        ['herbs', 'rolls/buns']=>['whole milk']
 55    0.800        ['citrus fruit', 'butter', 'tropical fruit']=>['whole milk']
 56    0.800        ['tropical fruit', 'grapes', 'whole milk']=>['other vegetables']
 57    0.800        ['other vegetables', 'hamburger meat', 'curd']=>['whole milk']
 58    0.800        ['tropical fruit', 'frozen meals', 'yogurt']=>['whole milk']
 59    0.800        ['root vegetables', 'yogurt', 'fruit/vegetable juice', 'whole milk']=>['other vegetables']
 60    0.800        ['tropical fruit', 'pip fruit', 'whipped/sour cream', 'whole milk']=>['other vegetables']
 61    0.793        ['butter', 'curd', 'yogurt']=>['whole milk']
 62    0.793        ['root vegetables', 'pip fruit', 'other vegetables', 'yogurt']=>['whole milk']
 63    0.792        ['pip fruit', 'brown bread', 'tropical fruit']=>['other vegetables']
 64    0.789        ['rice', 'tropical fruit']=>['whole milk']
 65    0.789        ['sliced cheese', 'onions']=>['other vegetables']
 66    0.789        ['detergent', 'whipped/sour cream']=>['whole milk']
 67    0.789        ['tropical fruit', 'butter', 'curd']=>['yogurt']
 68    0.789        ['tropical fruit', 'soft cheese', 'yogurt']=>['whole milk']
 69    0.789        ['tropical fruit', 'sausage', 'newspapers']=>['whole milk']
 70    0.789        ['root vegetables', 'butter', 'chocolate']=>['whole milk']
 71    0.789        ['other vegetables', 'beef', 'brown bread']=>['whole milk']
 72    0.789        ['rice', 'other vegetables', 'yogurt']=>['whole milk']
 73    0.789        ['pip fruit', 'whipped/sour cream', 'domestic eggs']=>['whole milk']
 74    0.789        ['oil', 'yogurt', 'tropical fruit']=>['other vegetables']
 75    0.789        ['root vegetables', 'butter', 'yogurt']=>['whole milk']
 76    0.789        ['oil', 'root vegetables', 'yogurt']=>['whole milk']
 77    0.789        ['pip fruit', 'ham', 'whole milk']=>['other vegetables']
 78    0.789        ['root vegetables', 'other vegetables', 'frozen vegetables', 'yogurt']=>['whole milk']
 79    0.789        ['tropical fruit', 'rolls/buns', 'pastry', 'whole milk']=>['yogurt']
 80    0.789        ['root vegetables', 'other vegetables', 'domestic eggs', 'tropical fruit']=>['whole milk']
 81    0.786        ['citrus fruit', 'root vegetables', 'tropical fruit']=>['other vegetables']
 82    0.783        ['rice', 'yogurt']=>['whole milk']
 83    0.783        ['root vegetables', 'soft cheese', 'whole milk']=>['other vegetables']
 84    0.783        ['root vegetables', 'curd', 'domestic eggs']=>['whole milk']
 85    0.783        ['citrus fruit', 'domestic eggs', 'tropical fruit']=>['whole milk']
 86    0.783        ['butter', 'other vegetables', 'hygiene articles']=>['whole milk']
 87    0.783        ['sugar', 'other vegetables', 'domestic eggs']=>['whole milk']
 88    0.783        ['citrus fruit', 'onions', 'whole milk']=>['other vegetables']
 89    0.783        ['tropical fruit', 'butter', 'domestic eggs']=>['whole milk']
 90    0.783        ['butter', 'other vegetables', 'onions']=>['whole milk']
 91    0.783        ['tropical fruit', 'chicken', 'root vegetables']=>['other vegetables']
 92    0.781        ['root vegetables', 'fruit/vegetable juice', 'tropical fruit']=>['other vegetables']
 93    0.778        ['tropical fruit', 'rolls/buns', 'beef']=>['whole milk']
 94    0.778        ['whipped/sour cream', 'onions', 'whole milk']=>['other vegetables']
 95    0.775        ['root vegetables', 'other vegetables', 'brown bread']=>['whole milk']
 96    0.774        ['rice', 'root vegetables']=>['whole milk']
 97    0.774        ['root vegetables', 'sliced cheese', 'whole milk']=>['other vegetables']
 98    0.774        ['root vegetables', 'pip fruit', 'whole milk', 'tropical fruit']=>['other vegetables']
 99    0.774        ['citrus fruit', 'yogurt', 'other vegetables', 'tropical fruit']=>['whole milk']
 100   0.773        ['root vegetables', 'hard cheese', 'yogurt']=>['whole milk']
 101   0.773        ['tropical fruit', 'margarine', 'domestic eggs']=>['whole milk']
 102   0.773        ['butter', 'other vegetables', 'bottled beer']=>['whole milk']
 103   0.773        ['tropical fruit', 'curd', 'domestic eggs']=>['whole milk']
 104   0.773        ['rolls/buns', 'butter', 'beef']=>['whole milk']
 105   0.773        ['tropical fruit', 'bottled water', 'domestic eggs']=>['whole milk']
 106   0.773        ['root vegetables', 'sausage', 'butter']=>['whole milk']
 107   0.771        ['root vegetables', 'sausage', 'tropical fruit']=>['whole milk']
 108   0.771        ['tropical fruit', 'root vegetables', 'domestic eggs']=>['whole milk']
 109   0.769        ['citrus fruit', 'root vegetables', 'frozen vegetables']=>['other vegetables']
 110   0.769        ['other vegetables', 'bottled beer', 'domestic eggs']=>['whole milk']
 111   0.767        ['tropical fruit', 'root vegetables', 'frozen vegetables']=>['whole milk']
 112   0.767        ['tropical fruit', 'butter', 'whipped/sour cream']=>['other vegetables']
 113   0.767        ['root vegetables', 'pip fruit', 'whipped/sour cream']=>['whole milk']
 114   0.767        ['tropical fruit', 'other vegetables', 'butter', 'yogurt']=>['whole milk']
 115   0.765        ['root vegetables', 'butter', 'whipped/sour cream']=>['whole milk']
 116   0.763        ['whipped/sour cream', 'butter milk']=>['whole milk']
 117   0.762        ['chicken', 'whipped/sour cream', 'rolls/buns']=>['whole milk']
 118   0.762        ['white bread', 'whipped/sour cream', 'yogurt']=>['other vegetables']
 119   0.762        ['butter', 'cream cheese', 'yogurt']=>['whole milk']
 120   0.762        ['tropical fruit', 'sausage', 'whipped/sour cream']=>['whole milk']
 121   0.762        ['citrus fruit', 'root vegetables', 'oil']=>['other vegetables']
 122   0.762        ['root vegetables', 'other vegetables', 'butter', 'whipped/sour cream']=>['whole milk']
 123   0.762        ['citrus fruit', 'other vegetables', 'whipped/sour cream', 'tropical fruit']=>['whole milk']
 124   0.762        ['tropical fruit', 'butter', 'whipped/sour cream', 'whole milk']=>['other vegetables']
